question,intent
Reveal complete top cities,top_cities
I'd like to know the average business sales.,average_sales
View top selling cities.,top_cities
Could you give the segment wise sales?,sales_by_segment
Display all bottom customers,bottom_customers
I want the yearly profit.,yearly_profit
Show insights for least selling products.,bottom_products
Review lowest spending customers.,bottom_customers
How much is best sales region?,best_region
Display complete bottom 10 customers.,bottom_customers
What is delivery performance?,shipping_analysis
Give complete inventory report,inventory_summary
Please analyze sales by segment.,sales_by_segment
Present least profitable region.,worst_region
Present the most profitable region.,best_region
Display the average business profit,average_profit
What is total quantity?,quantity_analysis
Give me net profit.,total_profit
Give complete lowest sales cities.,bottom_cities
Kindly display the month wise sales.,monthly_sales
Can you reveal the bottom states?,bottom_states
Fetch the average sales.,average_sales
Summarize year wise sales.,yearly_sales
Can you calculate the sales trend?,sales_growth
View lowest sales states.,bottom_states
Can you display the regional profit?,region_profit
Can you list lowest selling products?,bottom_products
Display business summary,dashboard_summary
I need the growth in sales.,sales_growth
Fetch the sales for each category.,sales_by_category
Show the business overview,dashboard_summary
Can you find best profit item?,highest_profit_product
Create a report for stock overview.,inventory_summary
What is category profit performance?,category_profit
Please display the subcategory sales.,sales_by_subcategory
Inspect sales across categories.,sales_by_category
Kindly reveal the monthly earnings.,monthly_profit
Please display the profit by year.,yearly_profit
Please identify highest profit product.,highest_profit_product
Compare all segment wise sales,sales_by_segment
Tell me the city performance.,top_cities
Can you display the average profit?,average_profit
Display latest stock summary.,inventory_summary
Kindly analyze the sales by subcategory.,sales_by_subcategory
I would like business overview.,dashboard_summary
Could you show the category wise sales?,sales_by_category
Please calculate the annual revenue.,yearly_sales
Generate a report for total orders.,order_count
Can I see the average business sales?,average_sales
Can you calculate the total quantity?,quantity_analysis
Can you provide lowest sales cities?,bottom_cities
Generate a report for highest sales cities.,top_cities
I'd like to know the monthly business sales.,monthly_sales
Kindly reveal the most profitable region.,best_region
Show most valuable customers,top_customers
Can you calculate number of customers?,customer_count
Can you show top selling cities?,top_cities
Reveal total profit,total_profit
Inspect best cities.,top_cities
Can you find the region wise profit?,region_profit
Kindly list the least profitable cities.,bottom_cities
I need the top selling states.,top_states
Calculate complete monthly earnings,monthly_profit
Analyze performance of discount analysis.,discount_analysis
Please provide best profit item.,highest_profit_product
Calculate all month wise profit,monthly_profit
Please calculate overall earnings.,total_profit
Provide detailed average gross profit.,average_profit
View average sales.,average_sales
Inspect product quantities.,quantity_analysis
Can I see the sales by segment?,sales_by_segment
I need profit by month.,monthly_profit
Can I see average business profit?,average_profit
Can you provide the lowest sales states?,bottom_states
Kindly calculate the total customer orders.,order_count
Give complete highest sales cities.,top_cities
Explain highest performing region.,best_region
Show insights for lowest selling products.,bottom_products
Can you find the total sales?,total_sales
Provide detailed sales across subcategories.,sales_by_subcategory
Please list lowest spending customers.,bottom_customers
Provide annual earnings.,yearly_profit
Can you show the category profit?,category_profit
Show all best performing states,top_states
Fetch the bottom 10 products.,bottom_products
Could you analyze the yearly sales?,yearly_sales
Give me total revenue.,total_sales
Show insights for overall orders.,order_count
How much is best region?,best_region
Could you tell me the grand total profit?,total_profit
Provide the profit growth,profit_growth
Show stock summary,inventory_summary
Give me average gross profit.,average_profit
Give me annual revenue.,yearly_sales
Tell me the shipping performance.,shipping_analysis
Could you calculate the yearly sales?,yearly_sales
I need the worst profit product.,lowest_profit_product
Could you find the total orders?,order_count
Could you find the lowest spending customers?,bottom_customers
Kindly reveal the profit by category.,category_profit
Find sales by subcategory,sales_by_subcategory
Please display overall dashboard.,dashboard_summary
Explain sales across subcategories.,sales_by_subcategory
Could you provide the subcategory sales?,sales_by_subcategory
Calculate grand total profit,total_profit
I need overall dashboard.,dashboard_summary
Show sales by subcategory,sales_by_subcategory
Can you display the lowest spending customers?,bottom_customers
View the mean profit,average_profit
Provide overall customer segment sales,sales_by_segment
Calculate overall monthly earnings,monthly_profit
Display all overall discount,discount_analysis
Please reveal most profitable product.,highest_profit_product
I want the least valuable customers.,bottom_customers
Kindly reveal the segment performance.,sales_by_segment
Could you list the worst performing states?,bottom_states
Reveal overall best cities,top_cities
Identify all most valuable customers,top_customers
Generate a report for least profitable region.,worst_region
Analyze profit growth.,profit_growth
Can you show the most profitable product?,highest_profit_product
Explain the business overview.,dashboard_summary
Please show dashboard summary.,dashboard_summary
Explain the lowest earning product.,lowest_profit_product
List highest sales states,top_states
Kindly identify the least selling products.,bottom_products
I want average income.,average_profit
Find complete worst region,worst_region
Create a report for quantity analysis.,quantity_analysis
Give me the lowest spending customers.,bottom_customers
Give detailed profit increase.,profit_growth
Compare business profit.,total_profit
Show complete average net profit.,average_profit
Could you display the shipping mode?,shipping_analysis
Show latest total quantity.,quantity_analysis
Display complete shipping analysis.,shipping_analysis
Find the city performance.,top_cities
Can you give total profit?,total_profit
Please display stock overview.,inventory_summary
Summarize the best performing states.,top_states
Explain the top profit product.,highest_profit_product
I need bottom cities.,bottom_cities
Provide detailed total customers.,customer_count
Display all year wise profit,yearly_profit
Please provide total customer orders.,order_count
Reveal complete region profit performance,region_profit
Provide overall monthly profit,monthly_profit
Visualize yearly profit.,yearly_profit
View all sales average,average_sales
Explain order count.,order_count
Reveal complete worst sales region,worst_region
I'd like to know the top selling cities.,top_cities
Can you calculate the business profit?,total_profit
Calculate the overall orders,order_count
Please calculate yearly profit.,yearly_profit
Give me company profit.,total_profit
Display complete shipping mode,shipping_analysis
Summarize annual sales.,yearly_sales
I need the top customers.,top_customers
Could you provide the profit average?,average_profit
Kindly display the worst sales region.,worst_region
View the order count.,order_count
Present category profit performance.,category_profit
Summarize the least profitable states.,bottom_states
Can you show ship mode analysis?,shipping_analysis
Please find average discount.,discount_analysis
How much is total earnings?,total_profit
Reveal complete overall revenue,total_sales
Show me the overall discount.,discount_analysis
Kindly view the sales average.,average_sales
Find all city performance,top_cities
Display the ship mode analysis.,shipping_analysis
I need bottom 10 customers.,bottom_customers
Display latest least profitable cities.,bottom_cities
Could you show the total revenue?,total_sales
Reveal the sales across categories.,sales_by_category
Can you provide yearly sales?,yearly_sales
Calculate all average business profit,average_profit
I want the overall sales.,total_sales
Tell me all overall earnings,total_profit
Can I see average sales amount?,average_sales
Could you display the bottom cities?,bottom_cities
Plot sales quantity.,quantity_analysis
Can I see category wise sales?,sales_by_category
Please show annual revenue.,yearly_sales
Provide overall average income,average_profit
Calculate complete average income,average_sales
What is top selling states?,top_states
Display category profit.,category_profit
Display complete worst profit product,lowest_profit_product
Display the sales increase.,sales_growth
Find overall quantity analysis,quantity_analysis
Display all region profit performance,region_profit
Display complete average earnings,average_profit
How much is profit by region?,region_profit
Show me the highest profit product.,highest_profit_product
Reveal sales average.,average_sales
Find the average business profit.,average_profit
View the average earnings.,average_profit
Give detailed profit by month.,monthly_profit
Create a report for grand total sales.,total_sales
Please show mean profit.,average_profit
Find all mean sales,average_sales
Show complete total customers,customer_count
Compute average turnover,average_sales
Kindly analyze the growth in profit.,profit_growth
I want city performance.,bottom_cities
Tell me all average sales,average_sales
Can you reveal the year wise sales?,yearly_sales
Create dashboard for best profit item.,highest_profit_product
Display all overall revenue,total_sales
Give overall orders,order_count
Explain the sales by subcategory.,sales_by_subcategory
Can you list the best performing states?,top_states
Display bottom 10 customers.,bottom_customers
Provide lowest profit product.,lowest_profit_product
Find overall least profitable region,worst_region
Provide all region wise profit,region_profit
Please generate inventory overview.,inventory_summary
Can you view average revenue?,average_sales
Show me the least valuable customers.,bottom_customers
Review total revenue.,total_sales
Reveal the lowest spending customers,bottom_customers
I want the annual sales.,yearly_sales
Show me the city performance.,bottom_cities
Show region profit performance,region_profit
Generate a report for earnings growth.,profit_growth
Tell me the annual profit.,yearly_profit
Could you identify the lowest performing region?,worst_region
Please show worst performing states.,bottom_states
Generate monthly earnings.,monthly_profit
Generate a report for business overview.,dashboard_summary
Show overall average profit,average_profit
Display the profit by region,region_profit
Analyze all category wise profit,category_profit
Provide the region wise profit.,region_profit
Can you provide lowest spending customers?,bottom_customers
Please calculate the worst products.,bottom_products
Summarize worst performing states.,bottom_states
Kindly analyze the product quantities.,quantity_analysis
Present annual sales.,yearly_sales
Show insights for category wise profit.,category_profit
Show insights for bottom 10 products.,bottom_products
I'd like to know the average income.,average_sales
Can you display the growth in profit?,profit_growth
Provide overall average turnover,average_sales
Show latest top states.,top_states
Can you create stock overview?,inventory_summary
Reveal complete profit by month,monthly_profit
Please calculate the sales by month.,monthly_sales
Explain total profit.,total_profit
Present the overall orders.,order_count
Give me top profit product.,highest_profit_product
Give me customer segment sales.,sales_by_segment
Provide worst products,bottom_products
Find top region.,best_region
Calculate all yearly sales,yearly_sales
Generate number of orders.,order_count
Can you show inventory report?,inventory_summary
Please calculate worst products.,bottom_products
Analyze the worst profit product.,lowest_profit_product
Can you display monthly business sales?,monthly_sales
Give overall bottom customers,bottom_customers
I need top states.,top_states
Kindly reveal the worst profit product.,lowest_profit_product
How much is quantity analysis?,quantity_analysis
View the sales average,average_sales
Explain worst sales region.,worst_region
Identify overall lowest earning product,lowest_profit_product
Could you calculate the monthly sales?,monthly_sales
Tell me all profit average,average_profit
Show complete lowest sales cities,bottom_cities
Review grand total profit.,total_profit
Give inactive customers,bottom_customers
Summarize profit by year.,yearly_profit
Generate a report for monthly profit.,monthly_profit
Could you show the inventory report?,inventory_summary
Please display business sales.,total_sales
Kindly find the highest performing region.,best_region
Review lowest sales region.,worst_region
How much is lowest sales region?,worst_region
Show me the net profit.,total_profit
Could you list the top selling states?,top_states
Give complete least profitable product.,lowest_profit_product
Can you analyze the sales by year?,yearly_sales
Kindly show the lowest sales states.,bottom_states
Analyze all profit by month,monthly_profit
Generate overall customers.,customer_count
Summarize monthly business sales.,monthly_sales
Show highest sales cities,top_cities
Compare the sales by segment,sales_by_segment
Provide the yearly sales.,yearly_sales
Reveal the overall orders.,order_count
Generate growth in sales.,sales_growth
I need profit by region.,region_profit
Display annual profit,yearly_profit
Please reveal mean profit.,average_profit
Please display the annual sales.,yearly_sales
Show overall bottom products,bottom_products
Identify the best sales region,best_region
Can you display top 10 customers?,top_customers
Show average earnings,average_profit
Can I see the profit growth?,profit_growth
Please calculate the average sales amount.,average_sales
Display discount offered.,discount_analysis
Find the business sales,total_sales
Tell me registered customers.,customer_count
Give detailed bottom cities.,bottom_cities
Please display total sales.,total_sales
Could you show the registered customers?,customer_count
I need the highest sales cities.,top_cities
Find the discount percentage,discount_analysis
Give category sales,sales_by_category
Provide the top states.,top_states
List least popular products,bottom_products
Can I see lowest profit product?,lowest_profit_product
Find all overall revenue,total_sales
Could you show the shipping analysis?,shipping_analysis
Show overall average earnings,average_profit
Please find least profitable product.,lowest_profit_product
Find number of customers,customer_count
Find all quantity sold,quantity_analysis
Display all regional profit,region_profit
Provide complete segment performance,sales_by_segment
Please show business overview.,dashboard_summary
Please display business overview.,dashboard_summary
Fetch quantity sold.,quantity_analysis
Create dashboard for top cities.,top_cities
View overall overall profit,total_profit
Find the overall discount,discount_analysis
Provide business sales,total_sales
Show all total profit,total_profit
Show latest average sales.,average_sales
Can you show overall customers?,customer_count
What is the lowest performing region?,worst_region
Can you reveal business sales?,total_sales
Could you provide the top selling states?,top_states
Explain the customer count.,customer_count
Compare sales across categories.,sales_by_category
Can you reveal monthly profit?,monthly_profit
Can you show the business sales?,total_sales
Tell me most valuable customers.,top_customers
I'd like to know the customer segment sales.,sales_by_segment
Can you display the top selling states?,top_states
Summarize the profit growth.,profit_growth
I'd like to know the lowest selling products.,bottom_products
How much is the order count?,order_count
Please generate overall dashboard.,dashboard_summary
View sales quantity.,quantity_analysis
Give detailed mean profit.,average_profit
Could you provide the annual sales?,yearly_sales
Can I see the company profit?,total_profit
Display overall grand total sales,total_sales
Find all product quantities,quantity_analysis
I need total customer orders.,order_count
Show latest segment wise sales.,sales_by_segment
Could you show the average net profit?,average_profit
Show mean sales,average_sales
Please calculate average income.,average_profit
Find all sales average,average_sales
Can you find least profitable product?,lowest_profit_product
Can you display lowest sales region?,worst_region
Could you view the average income?,average_sales
Display complete month wise profit.,monthly_profit
Reveal year wise sales.,yearly_sales
Identify overall least selling products,bottom_products
Can you display the average income?,average_profit
Kindly reveal the sales by month.,monthly_sales
Display complete business sales,total_sales
Can you tell me business sales?,total_sales
Fetch overall discount.,discount_analysis
Kindly give the category wise sales.,sales_by_category
Reveal overall least profitable region,worst_region
Generate complete dashboard summary,dashboard_summary
Can you analyze the business growth?,sales_growth
Compare highest spending customers.,top_customers
Can you find net profit?,total_profit
Please provide bottom 10 products.,bottom_products
Kindly reveal the sales across subcategories.,sales_by_subcategory
Display overall highest profit product,highest_profit_product
Can you provide inventory report?,inventory_summary
How much is monthly revenue?,monthly_sales
Give complete overall revenue.,total_sales
I'd like to know the highest sales states.,top_states
Provide monthly sales,monthly_sales
Can you provide subcategory wise sales?,sales_by_subcategory
Kindly analyze the subcategory performance.,sales_by_subcategory
Give inventory overview,inventory_summary
Provide lowest spending customers.,bottom_customers
Reveal all average turnover,average_sales
Analyze performance of customer segment sales.,sales_by_segment
Reveal all inactive customers,bottom_customers
I'd like to know sales by year.,yearly_sales
Compare grand total profit.,total_profit
Show complete bottom customers.,bottom_customers
Please display the profit trend.,profit_growth
Please analyze category sales.,sales_by_category
What is mean profit?,average_profit
Fetch stock summary.,inventory_summary
Provide the sales quantity.,quantity_analysis
Review mean sales.,average_sales
Display all highest profit product,highest_profit_product
Show complete top cities,top_cities
What is profit trend?,profit_growth
I need the subcategory sales.,sales_by_subcategory
Please show total earnings.,total_profit
Kindly find the order count.,order_count
Find overall top states,top_states
Summarize sales by year.,yearly_sales
View overall customers.,customer_count
Provide detailed lowest sales states.,bottom_states
Can you compute average income?,average_sales
Could you analyze the month wise profit?,monthly_profit
Provide the average income.,average_profit
Kindly calculate the sales growth.,sales_growth
Please display the sales by segment.,sales_by_segment
How much is monthly earnings?,monthly_profit
Please display sales trend.,sales_growth
Display number of customers.,customer_count
Fetch top selling states.,top_states
Compare least selling products.,bottom_products
Analyze all profit growth,profit_growth
Analyze category profit performance.,category_profit
Show me profit across regions.,region_profit
Display the profit by year,yearly_profit
Could you reveal the average sales?,average_sales
Show complete top region,best_region
Display the mean sales,average_sales
Can you find the worst sales region?,worst_region
How much is average business profit?,average_profit
Find the lowest selling products,bottom_products
I'd like to know the best performing states.,top_states
I would like top 10 customers.,top_customers
Find the total earnings.,total_profit
Please show lowest sales region.,worst_region
I want best region.,best_region
Find lowest sales region,worst_region
Provide total customers.,customer_count
Find overall average sales amount,average_sales
Analyze the sales quantity,quantity_analysis
Provide complete total sales,total_sales
Give the overall profit,total_profit
Summarize the number of orders.,order_count
Please show mean sales.,average_sales
Display the overall orders.,order_count
Show all worst products,bottom_products
Fetch shipping mode.,shipping_analysis
Tell me average income,average_sales
I'd like to know the shipping analysis.,shipping_analysis
Can I see the highest profit product?,highest_profit_product
List the best cities,top_cities
Could you display the top selling states?,top_states
Provide all inactive customers,bottom_customers
Calculate overall overall orders,order_count
Show all profit by month,monthly_profit
Display worst profit product.,lowest_profit_product
Kindly provide the number of customers.,customer_count
Can you provide the subcategory sales?,sales_by_subcategory
Tell me customer segment sales.,sales_by_segment
I'd like the number of customers.,customer_count
Present the business sales.,total_sales
Find complete profit growth,profit_growth
Kindly display the sales by segment.,sales_by_segment
I need the average net profit.,average_profit
What is the lowest sales region?,worst_region
Explain the total orders.,order_count
List overall best customers,top_customers
View complete total earnings,total_profit
Kindly compare the customer segment sales.,sales_by_segment
Reveal all highest performing region,best_region
Find complete total customers,customer_count
Show the lowest earning product,lowest_profit_product
Can you provide bottom cities?,bottom_cities
View complete average net profit,average_profit
Reveal lowest sales region,worst_region
Visualize profit across regions.,region_profit
Explain lowest profit product.,lowest_profit_product
Show complete subcategory performance,sales_by_subcategory
Can you view the average business sales?,average_sales
How much is the top customers?,top_customers
Display monthly business profit,monthly_profit
Find all total orders,order_count
Could you give the average sales?,average_sales
Display latest bottom customers.,bottom_customers
Explain total quantity.,quantity_analysis
What is the customer segment sales?,sales_by_segment
Show me sales increase.,sales_growth
Kindly find the subcategory performance.,sales_by_subcategory
Can you analyze the discount offered?,discount_analysis
Analyze yearly sales.,yearly_sales
Could you display the average earnings?,average_profit
Find executive summary.,dashboard_summary
Please display the month wise profit.,monthly_profit
I need the quantity sold.,quantity_analysis
I'd like to know month wise sales.,monthly_sales
I'd like to know dashboard summary.,dashboard_summary
Provide monthly business sales,monthly_sales
Give the overall sales,total_sales
Fetch the top region.,best_region
View overall average business profit,average_profit
View overall total earnings,total_profit
Show me the average discount.,discount_analysis
Fetch profit by category.,category_profit
What is stock overview?,inventory_summary
I'd like to know the order count.,order_count
Show all ship mode analysis,shipping_analysis
Calculate complete average sales,average_sales
Compare the regional profit,region_profit
Explain shipping mode.,shipping_analysis
Reveal average income,average_sales
Fetch the lowest spending customers.,bottom_customers
Kindly view the average income.,average_sales
What is top cities?,top_cities
Find all category profit,category_profit
Can you give total orders?,order_count
Provide average gross profit,average_profit
Show insights for mean profit.,average_profit
Reveal complete best region,best_region
Display top profit product,highest_profit_product
Could you show the average sales?,average_sales
Display overall lowest sales cities,bottom_cities
Can you provide the average revenue?,average_sales
Fetch the profit by region.,region_profit
Please show segment wise sales.,sales_by_segment
Could you provide the lowest selling products?,bottom_products
Provide the city performance.,bottom_cities
Create dashboard for sales by year.,yearly_sales
Reveal overall average income,average_profit
Show complete sales average,average_sales
Show latest average income.,average_profit
Display complete profit average,average_profit
Kindly find the total earnings.,total_profit
Fetch the regional profit.,region_profit
Provide complete quantity analysis,quantity_analysis
Give all least valuable customers,bottom_customers
Could you compute the mean sales?,average_sales
What is best performing states?,top_states
How much is total profit?,total_profit
View the customer count.,customer_count
Reveal category profit performance.,category_profit
I need monthly sales.,monthly_sales
How much is the region wise profit?,region_profit
Explain least profitable states.,bottom_states
Fetch subcategory wise sales.,sales_by_subcategory
Provide number of customers,customer_count
Please calculate profit across regions.,region_profit
Can you provide worst performing cities?,bottom_cities
Create a report for profit trend.,profit_growth
I need the yearly sales.,yearly_sales
Reveal the profit growth.,profit_growth
Reveal complete net profit,total_profit
Provide all monthly revenue,monthly_sales
Tell me year wise sales.,yearly_sales
Give complete yearly profit.,yearly_profit
Kindly display the discount analysis.,discount_analysis
Give detailed best region.,best_region
Fetch the average turnover.,average_sales
View least profitable cities.,bottom_cities
What is least profitable region?,worst_region
Generate a report for sales by segment.,sales_by_segment
Please compare category wise profit.,category_profit
Could you find the total revenue?,total_sales
Compare all category wise profit,category_profit
Show all shipping performance,shipping_analysis
Identify the bottom 10 customers,bottom_customers
I would like region profit performance.,region_profit
Can you tell me overall earnings?,total_profit
Calculate all average sales,average_sales
Show the category wise sales,sales_by_category
Create dashboard for average gross profit.,average_profit
Can you tell me the total revenue?,total_sales
How much is bottom states?,bottom_states
Find most valuable customers,top_customers
Analyze overall monthly profit,monthly_profit
Summarize the average turnover.,average_sales
Please display segment sales.,sales_by_segment
Create dashboard for total profit.,total_profit
Find the average earnings.,average_profit
Show complete business profit.,total_profit
Could you reveal the monthly business sales?,monthly_sales
Present the inventory report.,inventory_summary
Reveal subcategory wise sales,sales_by_subcategory
Kindly reveal the lowest earning product.,lowest_profit_product
Display profit across categories,category_profit
Provide the average business profit,average_profit
Generate a report for total profit.,total_profit
Please provide profit across regions.,region_profit
Give overall business summary,dashboard_summary
Provide complete shipping performance,shipping_analysis
Can you show the average turnover?,average_sales
Analyze profit increase,profit_growth
What is the shipping analysis?,shipping_analysis
Could you calculate the mean sales?,average_sales
Can you show the annual earnings?,yearly_profit
Kindly identify the least popular products.,bottom_products
Explain the annual earnings.,yearly_profit
Present top states.,top_states
Give detailed average earnings.,average_profit
I need the monthly revenue.,monthly_sales
Can I see premium customers?,top_customers
Give complete overall earnings.,total_profit
Please display the executive summary.,dashboard_summary
Provide the subcategory performance.,sales_by_subcategory
Can I see year wise sales?,yearly_sales
Please find average revenue.,average_sales
Can you list the lowest spending customers?,bottom_customers
Kindly reveal the best profit item.,highest_profit_product
Show the profit by month,monthly_profit
Could you show the inactive customers?,bottom_customers
Show overall profit,total_profit
Give the total earnings,total_profit
Calculate annual earnings,yearly_profit
Display the profit by region.,region_profit
I need the mean profit.,average_profit
Find complete grand total profit,total_profit
Calculate complete growth in sales,sales_growth
Can you identify the worst region?,worst_region
Please reveal lowest performing region.,worst_region
Display the highest sales cities,top_cities
Reveal average income.,average_sales
Inspect shipping performance.,shipping_analysis
Create dashboard for profit across regions.,region_profit
Can you reveal the top selling states?,top_states
Kindly display the average turnover.,average_sales
Can you display the stock overview?,inventory_summary
Summarize category profit.,category_profit
Tell me mean profit,average_profit
Compare the category performance,sales_by_category
I want net profit.,total_profit
Calculate complete overall earnings,total_profit
Display complete least popular products,bottom_products
Kindly reveal the top selling cities.,top_cities
Could you find the most profitable product?,highest_profit_product
Display business growth,sales_growth
Can you provide least popular products?,bottom_products
Display overall mean profit,average_profit
Show me the average sales amount.,average_sales
Find worst performing states.,bottom_states
Kindly reveal the annual sales.,yearly_sales
Find the category profit performance.,category_profit
Could you display the category sales?,sales_by_category
Can you give the average profit?,average_profit
Generate the top region.,best_region
Reveal monthly earnings,monthly_profit
Summarize the total customer orders.,order_count
Analyze overall sales by subcategory,sales_by_subcategory
List all top states,top_states
Can you calculate the average net profit?,average_profit
Show complete lowest earning product,lowest_profit_product
Give me the monthly business sales.,monthly_sales
Can you calculate the monthly business sales?,monthly_sales
Find overall top customers,top_customers
Display overall top profit product,highest_profit_product
Provide the overall profit.,total_profit
Can you display the top customers?,top_customers
Please display the discount analysis.,discount_analysis
Kindly show the average discount.,discount_analysis
Can I see regional profit?,region_profit
Show complete best customers,top_customers
Show insights for year wise sales.,yearly_sales
Could you tell me the total earnings?,total_profit
Identify overall inactive customers,bottom_customers
Find highest performing region,best_region
Create a report for sales trend.,sales_growth
Give detailed top profit product.,highest_profit_product
View the sales for each category.,sales_by_category
Inspect subcategory sales.,sales_by_subcategory
Generate a report for bottom 10 customers.,bottom_customers
Review overall earnings.,total_profit
Create all inventory report,inventory_summary
Could you reveal the average turnover?,average_sales
Show complete bottom states,bottom_states
Fetch sales by subcategory.,sales_by_subcategory
Can you show top 10 customers?,top_customers
Give complete least selling products,bottom_products
Please show sales for each category.,sales_by_category
Please display year wise profit.,yearly_profit
Display lowest sales states,bottom_states
Display the registered customers.,customer_count
Can you give overall orders?,order_count
I want the total customers.,customer_count
I would like regional profit.,region_profit
Kindly find the least popular products.,bottom_products
Can you show overall discount?,discount_analysis
Identify the least profitable region,worst_region
View all profit average,average_profit
Display the month wise profit,monthly_profit
List overall top 10 customers,top_customers
Provide complete most profitable region,best_region
Show all quantity analysis,quantity_analysis
Analyze complete shipping analysis,shipping_analysis
Please show overall orders.,order_count
Display the lowest sales states.,bottom_states
Find the average income,average_sales
Explain the profit by year.,yearly_profit
Show complete average business sales.,average_sales
View the company profit.,total_profit
Explain the worst performing states.,bottom_states
Give me the least popular products.,bottom_products
Kindly tell me the business sales.,total_sales
Tell me overall customers.,customer_count
Can you find highest profit product?,highest_profit_product
Could you find the most profitable region?,best_region
Show me the highest performing region.,best_region
Please display stock summary.,inventory_summary
Can you reveal least profitable region?,worst_region
Could you reveal the region profit performance?,region_profit
What is business summary?,dashboard_summary
I need quantity analysis.,quantity_analysis
Analyze overall sales by category,sales_by_category
Review profit increase.,profit_growth
I need the average sales amount.,average_sales
Can you display category wise sales?,sales_by_category
Display complete profit growth.,profit_growth
Provide the bottom 10 products,bottom_products
Can you reveal yearly profit?,yearly_profit
Analyze all sales quantity,quantity_analysis
Analyze complete profit by category,category_profit
Generate the inactive customers.,bottom_customers
Kindly create the stock overview.,inventory_summary
Give me quantity sold.,quantity_analysis
Fetch grand total profit.,total_profit
Generate the inventory overview.,inventory_summary
Could you calculate the overall sales?,total_sales
Find complete inactive customers,bottom_customers
Find overall company profit,total_profit
Find all overall profit,total_profit
Kindly list the highest spending customers.,top_customers
Review best sales region.,best_region
Provide all stock summary,inventory_summary
List the least valuable customers,bottom_customers
Can you reveal the top region?,best_region
Give all bottom products,bottom_products
Kindly analyze the category wise sales.,sales_by_category
I need the order count.,order_count
I'd like to know worst products.,bottom_products
Kindly provide the overall orders.,order_count
Generate all inventory report,inventory_summary
Show latest bottom 10 customers.,bottom_customers
Calculate overall product quantities,quantity_analysis
Generate the growth in sales.,sales_growth
Reveal the top selling cities,top_cities
Can you show monthly sales?,monthly_sales
Show complete discount percentage.,discount_analysis
Show complete profit increase,profit_growth
View profit across regions.,region_profit
How much is regional profit?,region_profit
Summarize the customer segment sales.,sales_by_segment
Please provide average net profit.,average_profit
Calculate profit increase,profit_growth
Generate grand total sales.,total_sales
Find all average profit,average_profit
Kindly show the quantity sold.,quantity_analysis
Show complete bottom 10 customers,bottom_customers
I'd like to know region wise profit.,region_profit
Explain the regional profit.,region_profit
Show insights for city performance.,bottom_cities
I want the grand total profit.,total_profit
Can you find highest sales cities?,top_cities
Please reveal bottom 10 customers.,bottom_customers
Please show sales increase.,sales_growth
Can you give the sales for each category?,sales_by_category
Create dashboard for category profit performance.,category_profit
I want monthly earnings.,monthly_profit
Provide the profit across categories,category_profit
Please calculate the overall customers.,customer_count
Could you show the lowest sales cities?,bottom_cities
Display all sales increase,sales_growth
Reveal the profit by year,yearly_profit
Provide overall overall profit,total_profit
Find all subcategory performance,sales_by_subcategory
I need business overview.,dashboard_summary
Present the best customers.,top_customers
Find the lowest sales region.,worst_region
Could you display the most profitable region?,best_region
Summarize the discount percentage.,discount_analysis
Kindly find the average turnover.,average_sales
Could you identify the top customers?,top_customers
Display all mean profit,average_profit
View the lowest spending customers.,bottom_customers
Display complete best sales region,best_region
Can you reveal the average business profit?,average_profit
Show overall discount analysis,discount_analysis
Compute average income,average_sales
Inspect region wise profit.,region_profit
Review category wise sales.,sales_by_category
Provide all overall profit,total_profit
Kindly provide the best performing states.,top_states
Can you give the sales by subcategory?,sales_by_subcategory
Display city performance,bottom_cities
Please display average turnover.,average_sales
View total customer orders.,order_count
Inspect overall dashboard.,dashboard_summary
Can you display highest performing region?,best_region
Please display the highest performing region.,best_region
Analyze overall discount.,discount_analysis
Visualize order count.,order_count
Calculate the yearly profit,yearly_profit
Please display the average profit.,average_profit
Can you find profit across regions?,region_profit
Give complete least profitable region.,worst_region
Could you reveal the sales for each category?,sales_by_category
Review segment wise sales.,sales_by_segment
Can you compare the sales across categories?,sales_by_category
Give me number of customers.,customer_count
Analyze the total revenue.,total_sales
Summarize annual revenue.,yearly_sales
Identify all least selling products,bottom_products
Explain the mean profit.,average_profit
Show latest top 10 customers.,top_customers
Show me city performance.,bottom_cities
Can you view the average revenue?,average_sales
Display the category profit,category_profit
Show insights for average net profit.,average_profit
Generate sales growth.,sales_growth
Show latest average business sales.,average_sales
Provide the overall customers,customer_count
Could you display the bottom states?,bottom_states
Provide all average income,average_profit
Please show average sales amount.,average_sales
Can you give the least selling products?,bottom_products
Display latest average income.,average_sales
Show me segment sales.,sales_by_segment
Calculate the average sales amount,average_sales
Give me total orders.,order_count
Summarize the product quantities.,quantity_analysis
Could you show the premium customers?,top_customers
What is the monthly business sales?,monthly_sales
Show latest subcategory performance.,sales_by_subcategory
Tell me bottom customers.,bottom_customers
Give me the best performing states.,top_states
Can I see ship mode analysis?,shipping_analysis
How much is yearly sales?,yearly_sales
Show latest shipping mode.,shipping_analysis
Display the shipping mode,shipping_analysis
Analyze lowest sales cities.,bottom_cities
Can you display the most profitable product?,highest_profit_product
Plot monthly earnings.,monthly_profit
Find the number of orders.,order_count
Please calculate sales by segment.,sales_by_segment
Kindly calculate the discount percentage.,discount_analysis
Can you analyze sales by month?,monthly_sales
Find the lowest sales region,worst_region
Kindly list the top states.,top_states
Display city performance.,top_cities
Fetch city performance.,bottom_cities
