question,intent,clean_question
Could you find the shipping performance?,shipping_analysis,could you find the shipping performance
Generate the overall earnings.,total_profit,generate the overall earnings
Find highest spending customers,top_customers,find highest spending customers
Can you reveal the highest sales cities?,top_cities,can you reveal the highest sales cities
Calculate registered customers,customer_count,calculate registered customers
I need most valuable customers.,top_customers,i need most valuable customers
Calculate all total revenue,total_sales,calculate all total revenue
View all average gross profit,average_profit,view all average gross profit
Show the overall earnings,total_profit,show the overall earnings
Show complete profit trend.,profit_growth,show complete profit trend
Give overall least popular products,bottom_products,give overall least popular products
View the lowest earning product.,lowest_profit_product,view the lowest earning product
Calculate complete company profit,total_profit,calculate complete company profit
Fetch the worst performing states.,bottom_states,fetch the worst performing states
Show all category profit performance,category_profit,show all category profit performance
Reveal the monthly business sales,monthly_sales,reveal the monthly business sales
Could you provide the discount analysis?,discount_analysis,could you provide the discount analysis
Find bottom cities.,bottom_cities,find bottom cities
Can you reveal yearly sales?,yearly_sales,can you reveal yearly sales
Can you provide the order count?,order_count,can you provide the order count
Show insights for least profitable region.,worst_region,show insights for least profitable region
Kindly display the top customers.,top_customers,kindly display the top customers
Please display the segment performance.,sales_by_segment,please display the segment performance
Find least selling products,bottom_products,find least selling products
Kindly list the bottom customers.,bottom_customers,kindly list the bottom customers
Please provide growth in profit.,profit_growth,please provide growth in profit
View all business profit,total_profit,view all business profit
Analyze growth in profit.,profit_growth,analyze growth in profit
Can you calculate monthly sales?,monthly_sales,can you calculate monthly sales
Display all bottom 10 products,bottom_products,display all bottom 10 products
Find average profit,average_profit,find average profit
Generate complete business overview,dashboard_summary,generate complete business overview
I want the monthly revenue.,monthly_sales,i want the monthly revenue
Provide the subcategory wise sales.,sales_by_subcategory,provide the subcategory wise sales
Could you display the profit increase?,profit_growth,could you display the profit increase
Compare category profit.,category_profit,compare category profit
I want sales increase.,sales_growth,i want sales increase
Can you analyze the sales by segment?,sales_by_segment,can you analyze the sales by segment
Kindly reveal the top selling states.,top_states,kindly reveal the top selling states
Provide the inactive customers,bottom_customers,provide the inactive customers
Provide profit across regions,region_profit,provide profit across regions
Display the best region,best_region,display the best region
Could you provide the worst profit product?,lowest_profit_product,could you provide the worst profit product
Explain mean sales.,average_sales,explain mean sales
Compute the overall earnings,total_profit,compute the overall earnings
Can you analyze segment performance?,sales_by_segment,can you analyze segment performance
Kindly generate the business summary.,dashboard_summary,kindly generate the business summary
Explain the average turnover.,average_sales,explain the average turnover
Show worst sales region,worst_region,show worst sales region
Please give segment wise sales.,sales_by_segment,please give segment wise sales
Can you provide the highest sales states?,top_states,can you provide the highest sales states
Give all bottom 10 customers,bottom_customers,give all bottom 10 customers
Find region wise profit.,region_profit,find region wise profit
Show all lowest sales states,bottom_states,show all lowest sales states
Analyze least profitable region.,worst_region,analyze least profitable region
Analyze performance of monthly earnings.,monthly_profit,analyze performance of monthly earnings
Reveal sales trend.,sales_growth,reveal sales trend
Display complete best cities.,top_cities,display complete best cities
Provide overall business growth,sales_growth,provide overall business growth
Analyze the worst region.,worst_region,analyze the worst region
Review lowest performing region.,worst_region,review lowest performing region
Create all dashboard summary,dashboard_summary,create all dashboard summary
Generate a report for executive summary.,dashboard_summary,generate a report for executive summary
Fetch the region profit performance.,region_profit,fetch the region profit performance
Tell me year wise profit.,yearly_profit,tell me year wise profit
Give complete overall dashboard,dashboard_summary,give complete overall dashboard
Show complete best profit item.,highest_profit_product,show complete best profit item
Please provide lowest sales cities.,bottom_cities,please provide lowest sales cities
Show latest sales quantity.,quantity_analysis,show latest sales quantity
Can you find average sales amount?,average_sales,can you find average sales amount
I'd like to know the sales by year.,yearly_sales,id like to know the sales by year
Can you show top selling states?,top_states,can you show top selling states
Can you reveal least profitable cities?,bottom_cities,can you reveal least profitable cities
Generate the bottom 10 products.,bottom_products,generate the bottom 10 products
Inspect highest spending customers.,top_customers,inspect highest spending customers
Please display total orders.,order_count,please display total orders
Please calculate the total quantity.,quantity_analysis,please calculate the total quantity
I need the lowest earning product.,lowest_profit_product,i need the lowest earning product
Tell me the category wise sales.,sales_by_category,tell me the category wise sales
How much is the total earnings?,total_profit,how much is the total earnings
Calculate mean profit,average_profit,calculate mean profit
Plot monthly profit.,monthly_profit,plot monthly profit
Fetch the inventory report.,inventory_summary,fetch the inventory report
Show the highest performing region,best_region,show the highest performing region
Reveal lowest sales states,bottom_states,reveal lowest sales states
Calculate overall discount offered,discount_analysis,calculate overall discount offered
Kindly calculate the month wise sales.,monthly_sales,kindly calculate the month wise sales
Give all sales across subcategories,sales_by_subcategory,give all sales across subcategories
Inspect yearly sales.,yearly_sales,inspect yearly sales
Can you display the lowest sales cities?,bottom_cities,can you display the lowest sales cities
Provide overall earnings,total_profit,provide overall earnings
Compare overall shipping mode,shipping_analysis,compare overall shipping mode
Please compute company profit.,total_profit,please compute company profit
Give detailed top customers.,top_customers,give detailed top customers
Explain business growth.,sales_growth,explain business growth
Display overall average revenue,average_sales,display overall average revenue
I'd like the average sales.,average_sales,id like the average sales
Review category wise profit.,category_profit,review category wise profit
Can you show city performance?,top_cities,can you show city performance
View the overall profit.,total_profit,view the overall profit
Display complete profit across categories.,category_profit,display complete profit across categories
Display latest top states.,top_states,display latest top states
Kindly display the sales across categories.,sales_by_category,kindly display the sales across categories
Generate the product quantities.,quantity_analysis,generate the product quantities
Provide complete subcategory sales,sales_by_subcategory,provide complete subcategory sales
What is the sales average?,average_sales,what is the sales average
Analyze all business growth,sales_growth,analyze all business growth
Show overall sales increase,sales_growth,show overall sales increase
Can I see monthly business sales?,monthly_sales,can i see monthly business sales
Compute the average revenue,average_sales,compute the average revenue
View the average earnings,average_profit,view the average earnings
Can you show number of customers?,customer_count,can you show number of customers
Kindly reveal the category profit.,category_profit,kindly reveal the category profit
Give all average business profit,average_profit,give all average business profit
Calculate the average business sales,average_sales,calculate the average business sales
Give detailed worst performing cities.,bottom_cities,give detailed worst performing cities
How much is top customers?,top_customers,how much is top customers
Reveal the sales across subcategories.,sales_by_subcategory,reveal the sales across subcategories
Compare complete sales by subcategory,sales_by_subcategory,compare complete sales by subcategory
View least profitable region.,worst_region,view least profitable region
Provide overall month wise sales,monthly_sales,provide overall month wise sales
Reveal overall average turnover,average_sales,reveal overall average turnover
Explain annual earnings.,yearly_profit,explain annual earnings
Provide stock overview,inventory_summary,provide stock overview
Visualize highest profit product.,highest_profit_product,visualize highest profit product
I want the bottom 10 products.,bottom_products,i want the bottom 10 products
Kindly display the average business sales.,average_sales,kindly display the average business sales
Analyze all discount percentage,discount_analysis,analyze all discount percentage
Reveal average income,average_profit,reveal average income
Give me the highest profit product.,highest_profit_product,give me the highest profit product
Please provide earnings growth.,profit_growth,please provide earnings growth
Please reveal top selling cities.,top_cities,please reveal top selling cities
Show insights for shipping performance.,shipping_analysis,show insights for shipping performance
Can you find the sales increase?,sales_growth,can you find the sales increase
Provide detailed annual earnings.,yearly_profit,provide detailed annual earnings
Generate registered customers.,customer_count,generate registered customers
Could you show the profit trend?,profit_growth,could you show the profit trend
Tell me all average net profit,average_profit,tell me all average net profit
How much is the worst profit product?,lowest_profit_product,how much is the worst profit product
I want region profit performance.,region_profit,i want region profit performance
Could you identify the least valuable customers?,bottom_customers,could you identify the least valuable customers
Give all most valuable customers,top_customers,give all most valuable customers
Can you find the business sales?,total_sales,can you find the business sales
Can you find premium customers?,top_customers,can you find premium customers
Could you calculate the sales quantity?,quantity_analysis,could you calculate the sales quantity
Give complete quantity analysis.,quantity_analysis,give complete quantity analysis
Compare average sales.,average_sales,compare average sales
Can you calculate the sales quantity?,quantity_analysis,can you calculate the sales quantity
Visualize top states.,top_states,visualize top states
Compute average business sales,average_sales,compute average business sales
Kindly provide the growth in profit.,profit_growth,kindly provide the growth in profit
Analyze monthly business profit.,monthly_profit,analyze monthly business profit
Explain grand total sales.,total_sales,explain grand total sales
View profit increase.,profit_growth,view profit increase
Show the bottom states,bottom_states,show the bottom states
Calculate overall average income,average_profit,calculate overall average income
Inspect least profitable states.,bottom_states,inspect least profitable states
I'd like to know the customer count.,customer_count,id like to know the customer count
Find sales by year.,yearly_sales,find sales by year
Compare earnings growth.,profit_growth,compare earnings growth
I'd like the annual revenue.,yearly_sales,id like the annual revenue
Display overall average business profit,average_profit,display overall average business profit
Analyze overall earnings growth,profit_growth,analyze overall earnings growth
Reveal overall monthly business sales,monthly_sales,reveal overall monthly business sales
Kindly display the monthly profit.,monthly_profit,kindly display the monthly profit
Fetch the subcategory performance.,sales_by_subcategory,fetch the subcategory performance
Find the bottom customers.,bottom_customers,find the bottom customers
Kindly list the best performing states.,top_states,kindly list the best performing states
View net profit,total_profit,view net profit
What is sales for each category?,sales_by_category,what is sales for each category
Create overall inventory report,inventory_summary,create overall inventory report
Can you compare category profit?,category_profit,can you compare category profit
Find bottom products,bottom_products,find bottom products
Calculate overall customers,customer_count,calculate overall customers
View order count.,order_count,view order count
Provide overall sales trend,sales_growth,provide overall sales trend
Kindly display the monthly revenue.,monthly_sales,kindly display the monthly revenue
Analyze performance of executive summary.,dashboard_summary,analyze performance of executive summary
Provide detailed overall orders.,order_count,provide detailed overall orders
Compare the ship mode analysis,shipping_analysis,compare the ship mode analysis
Can you tell me the average business sales?,average_sales,can you tell me the average business sales
Display all worst performing cities,bottom_cities,display all worst performing cities
Show overall lowest earning product,lowest_profit_product,show overall lowest earning product
Explain shipping performance.,shipping_analysis,explain shipping performance
What is annual revenue?,yearly_sales,what is annual revenue
Can you provide the worst profit product?,lowest_profit_product,can you provide the worst profit product
Can you reveal bottom 10 products?,bottom_products,can you reveal bottom 10 products
Summarize discount analysis.,discount_analysis,summarize discount analysis
Compare all profit across categories,category_profit,compare all profit across categories
Give me the least profitable states.,bottom_states,give me the least profitable states
Analyze the business growth,sales_growth,analyze the business growth
Can you provide the discount offered?,discount_analysis,can you provide the discount offered
Please calculate the overall revenue.,total_sales,please calculate the overall revenue
Provide detailed overall sales.,total_sales,provide detailed overall sales
Reveal the sales trend.,sales_growth,reveal the sales trend
Analyze performance of business sales.,total_sales,analyze performance of business sales
Compute complete average revenue,average_sales,compute complete average revenue
Can you analyze monthly sales?,monthly_sales,can you analyze monthly sales
Find the segment wise sales.,sales_by_segment,find the segment wise sales
I need the best cities.,top_cities,i need the best cities
Summarize monthly sales.,monthly_sales,summarize monthly sales
Show insights for growth in sales.,sales_growth,show insights for growth in sales
Reveal overall annual earnings,yearly_profit,reveal overall annual earnings
Display all growth in profit,profit_growth,display all growth in profit
Kindly provide the city performance.,top_cities,kindly provide the city performance
Please compute average net profit.,average_profit,please compute average net profit
Could you provide the best cities?,top_cities,could you provide the best cities
Show complete sales for each category,sales_by_category,show complete sales for each category
Show complete sales growth.,sales_growth,show complete sales growth
Provide sales by category,sales_by_category,provide sales by category
Could you display the lowest spending customers?,bottom_customers,could you display the lowest spending customers
Display bottom 10 products,bottom_products,display bottom 10 products
Could you show the sales by year?,yearly_sales,could you show the sales by year
Tell me most profitable region.,best_region,tell me most profitable region
Fetch average revenue.,average_sales,fetch average revenue
Reveal the profit increase.,profit_growth,reveal the profit increase
Generate the yearly sales.,yearly_sales,generate the yearly sales
Calculate total profit,total_profit,calculate total profit
Display latest total customers.,customer_count,display latest total customers
Reveal overall monthly sales,monthly_sales,reveal overall monthly sales
Display overall total revenue,total_sales,display overall total revenue
View the profit across regions.,region_profit,view the profit across regions
Display lowest sales region,worst_region,display lowest sales region
Display the total customers,customer_count,display the total customers
Display the delivery performance.,shipping_analysis,display the delivery performance
Can I see overall earnings?,total_profit,can i see overall earnings
Provide detailed profit across regions.,region_profit,provide detailed profit across regions
Kindly display the highest sales states.,top_states,kindly display the highest sales states
Provide average turnover,average_sales,provide average turnover
Please list lowest sales states.,bottom_states,please list lowest sales states
Can you analyze discount offered?,discount_analysis,can you analyze discount offered
Could you analyze the sales across subcategories?,sales_by_subcategory,could you analyze the sales across subcategories
Show complete best performing states,top_states,show complete best performing states
Could you calculate the monthly profit?,monthly_profit,could you calculate the monthly profit
Please calculate shipping mode.,shipping_analysis,please calculate shipping mode
Reveal all top 10 customers,top_customers,reveal all top 10 customers
Review profit across regions.,region_profit,review profit across regions
Inspect average profit.,average_profit,inspect average profit
Provide the top selling states.,top_states,provide the top selling states
Provide delivery performance,shipping_analysis,provide delivery performance
Compare month wise sales.,monthly_sales,compare month wise sales
Analyze performance of top customers.,top_customers,analyze performance of top customers
Please find top cities.,top_cities,please find top cities
Can you reveal average profit?,average_profit,can you reveal average profit
Generate a report for annual revenue.,yearly_sales,generate a report for annual revenue
Could you give the lowest selling products?,bottom_products,could you give the lowest selling products
Can you find the total earnings?,total_profit,can you find the total earnings
What is the average income?,average_sales,what is the average income
Reveal overall average business profit,average_profit,reveal overall average business profit
Give detailed overall discount.,discount_analysis,give detailed overall discount
I need the lowest spending customers.,bottom_customers,i need the lowest spending customers
Summarize the sales by category.,sales_by_category,summarize the sales by category
Present grand total sales.,total_sales,present grand total sales
Can you find the least selling products?,bottom_products,can you find the least selling products
Please reveal sales by month.,monthly_sales,please reveal sales by month
Present the bottom products.,bottom_products,present the bottom products
Please provide inventory report.,inventory_summary,please provide inventory report
I want the sales average.,average_sales,i want the sales average
Display sales by segment.,sales_by_segment,display sales by segment
Kindly analyze the profit by region.,region_profit,kindly analyze the profit by region
Kindly list the bottom cities.,bottom_cities,kindly list the bottom cities
Can you display the customer segment sales?,sales_by_segment,can you display the customer segment sales
Find monthly earnings.,monthly_profit,find monthly earnings
Provide the bottom products.,bottom_products,provide the bottom products
Can I see monthly profit?,monthly_profit,can i see monthly profit
Reveal the average turnover.,average_sales,reveal the average turnover
Please find least selling products.,bottom_products,please find least selling products
Give me sales trend.,sales_growth,give me sales trend
I'd like to know the monthly revenue.,monthly_sales,id like to know the monthly revenue
Review sales by segment.,sales_by_segment,review sales by segment
Could you show the monthly business sales?,monthly_sales,could you show the monthly business sales
Create a report for category wise profit.,category_profit,create a report for category wise profit
Show insights for most valuable customers.,top_customers,show insights for most valuable customers
Could you tell me the company profit?,total_profit,could you tell me the company profit
Provide lowest earning product.,lowest_profit_product,provide lowest earning product
List all bottom 10 customers,bottom_customers,list all bottom 10 customers
I want company profit.,total_profit,i want company profit
Generate profit by month.,monthly_profit,generate profit by month
Display the inventory overview.,inventory_summary,display the inventory overview
Show complete worst products.,bottom_products,show complete worst products
Show latest top profit product.,highest_profit_product,show latest top profit product
Provide complete net profit,total_profit,provide complete net profit
Provide complete average gross profit,average_profit,provide complete average gross profit
Summarize the monthly earnings.,monthly_profit,summarize the monthly earnings
Find overall average profit,average_profit,find overall average profit
Could you create the overall dashboard?,dashboard_summary,could you create the overall dashboard
Show insights for average income.,average_sales,show insights for average income
Can you analyze the month wise profit?,monthly_profit,can you analyze the month wise profit
Kindly show the subcategory sales.,sales_by_subcategory,kindly show the subcategory sales
Plot sales by month.,monthly_sales,plot sales by month
Show insights for segment performance.,sales_by_segment,show insights for segment performance
Calculate the average profit,average_profit,calculate the average profit
Could you display the overall earnings?,total_profit,could you display the overall earnings
Give detailed total earnings.,total_profit,give detailed total earnings
I want the sales quantity.,quantity_analysis,i want the sales quantity
Identify complete bottom customers,bottom_customers,identify complete bottom customers
Give me lowest sales region.,worst_region,give me lowest sales region
Analyze best performing states.,top_states,analyze best performing states
View complete average income,average_profit,view complete average income
Kindly show the ship mode analysis.,shipping_analysis,kindly show the ship mode analysis
Can you display the lowest profit product?,lowest_profit_product,can you display the lowest profit product
View bottom 10 products.,bottom_products,view bottom 10 products
Create dashboard for monthly revenue.,monthly_sales,create dashboard for monthly revenue
Show all best cities,top_cities,show all best cities
What is the profit by month?,monthly_profit,what is the profit by month
Provide average net profit,average_profit,provide average net profit
Kindly give the bottom 10 products.,bottom_products,kindly give the bottom 10 products
Find all overall customers,customer_count,find all overall customers
Analyze performance of overall sales.,total_sales,analyze performance of overall sales
Create dashboard for product quantities.,quantity_analysis,create dashboard for product quantities
Can you reveal sales across categories?,sales_by_category,can you reveal sales across categories
Show me the annual earnings.,yearly_profit,show me the annual earnings
Compute mean sales,average_sales,compute mean sales
Show latest year wise profit.,yearly_profit,show latest year wise profit
Reveal overall monthly profit,monthly_profit,reveal overall monthly profit
Please create inventory summary.,inventory_summary,please create inventory summary
Show all discount offered,discount_analysis,show all discount offered
Please display the yearly sales.,yearly_sales,please display the yearly sales
Kindly display the quantity analysis.,quantity_analysis,kindly display the quantity analysis
Fetch sales quantity.,quantity_analysis,fetch sales quantity
Display the category profit.,category_profit,display the category profit
Analyze the bottom 10 products.,bottom_products,analyze the bottom 10 products
I need average revenue.,average_sales,i need average revenue
Show me the stock summary.,inventory_summary,show me the stock summary
Fetch business overview.,dashboard_summary,fetch business overview
Can you find overall earnings?,total_profit,can you find overall earnings
Find complete profit average,average_profit,find complete profit average
Give overall average income,average_sales,give overall average income
Give me inventory overview.,inventory_summary,give me inventory overview
Analyze year wise sales,yearly_sales,analyze year wise sales
Fetch best customers.,top_customers,fetch best customers
Generate the overall orders.,order_count,generate the overall orders
Analyze the top customers.,top_customers,analyze the top customers
Present the city performance.,bottom_cities,present the city performance
I need inactive customers.,bottom_customers,i need inactive customers
Provide complete best cities,top_cities,provide complete best cities
Could you list the best cities?,top_cities,could you list the best cities
Can I see month wise sales?,monthly_sales,can i see month wise sales
Give complete sales by segment,sales_by_segment,give complete sales by segment
Could you display the overall sales?,total_sales,could you display the overall sales
Fetch best cities.,top_cities,fetch best cities
Kindly reveal the profit across regions.,region_profit,kindly reveal the profit across regions
Show complete monthly sales.,monthly_sales,show complete monthly sales
Display the top selling cities.,top_cities,display the top selling cities
Could you find the overall discount?,discount_analysis,could you find the overall discount
Can you find bottom customers?,bottom_customers,can you find bottom customers
Plot profit by month.,monthly_profit,plot profit by month
Summarize product quantities.,quantity_analysis,summarize product quantities
Find all profit average,average_profit,find all profit average
Please calculate most profitable region.,best_region,please calculate most profitable region
Create dashboard for annual sales.,yearly_sales,create dashboard for annual sales
How much is shipping performance?,shipping_analysis,how much is shipping performance
Give detailed lowest performing region.,worst_region,give detailed lowest performing region
Explain overall orders.,order_count,explain overall orders
I need the best region.,best_region,i need the best region
Generate bottom cities.,bottom_cities,generate bottom cities
Can you show highest sales cities?,top_cities,can you show highest sales cities
Provide the number of customers.,customer_count,provide the number of customers
Can I see best performing states?,top_states,can i see best performing states
Can you show the shipping analysis?,shipping_analysis,can you show the shipping analysis
Please reveal segment sales.,sales_by_segment,please reveal segment sales
Kindly tell me the average business profit.,average_profit,kindly tell me the average business profit
I'd like to know number of orders.,order_count,id like to know number of orders
I want the profit growth.,profit_growth,i want the profit growth
Can I see average earnings?,average_profit,can i see average earnings
Analyze the month wise profit,monthly_profit,analyze the month wise profit
Find the profit by region,region_profit,find the profit by region
List complete city performance,top_cities,list complete city performance
What is most profitable product?,highest_profit_product,what is most profitable product
Find complete top 10 customers,top_customers,find complete top 10 customers
Create a report for lowest earning product.,lowest_profit_product,create a report for lowest earning product
Compare top region.,best_region,compare top region
Display overall customer count,customer_count,display overall customer count
Show complete regional profit.,region_profit,show complete regional profit
Please provide discount offered.,discount_analysis,please provide discount offered
View all average net profit,average_profit,view all average net profit
Display complete average turnover,average_sales,display complete average turnover
Show me the registered customers.,customer_count,show me the registered customers
I would like bottom customers.,bottom_customers,i would like bottom customers
Present the sales by subcategory.,sales_by_subcategory,present the sales by subcategory
Give me worst sales region.,worst_region,give me worst sales region
Plot mean sales.,average_sales,plot mean sales
Reveal all average gross profit,average_profit,reveal all average gross profit
Can you find the subcategory wise sales?,sales_by_subcategory,can you find the subcategory wise sales
Find overall customer segment sales,sales_by_segment,find overall customer segment sales
Explain the average income.,average_profit,explain the average income
Please display lowest sales cities.,bottom_cities,please display lowest sales cities
Kindly display the highest sales cities.,top_cities,kindly display the highest sales cities
Show overall subcategory performance,sales_by_subcategory,show overall subcategory performance
Compare category wise profit.,category_profit,compare category wise profit
Could you find the category performance?,sales_by_category,could you find the category performance
I want average income.,average_sales,i want average income
Can you analyze the product quantities?,quantity_analysis,can you analyze the product quantities
Reveal all subcategory performance,sales_by_subcategory,reveal all subcategory performance
Please give grand total profit.,total_profit,please give grand total profit
Display the business profit,total_profit,display the business profit
Could you show the worst performing cities?,bottom_cities,could you show the worst performing cities
Find the overall revenue,total_sales,find the overall revenue
Kindly show the worst products.,bottom_products,kindly show the worst products
Compare profit by category.,category_profit,compare profit by category
Reveal sales growth.,sales_growth,reveal sales growth
Present the overall profit.,total_profit,present the overall profit
Display all dashboard summary,dashboard_summary,display all dashboard summary
Create stock summary,inventory_summary,create stock summary
Can you display profit by year?,yearly_profit,can you display profit by year
Give complete average turnover,average_sales,give complete average turnover
Can you display the business growth?,sales_growth,can you display the business growth
Reveal most profitable region.,best_region,reveal most profitable region
Find best cities,top_cities,find best cities
Kindly reveal the least profitable states.,bottom_states,kindly reveal the least profitable states
Give me segment sales.,sales_by_segment,give me segment sales
Present the grand total sales.,total_sales,present the grand total sales
I would like sales average.,average_sales,i would like sales average
Show the least profitable states,bottom_states,show the least profitable states
Can you provide business summary?,dashboard_summary,can you provide business summary
Find all number of customers,customer_count,find all number of customers
Can you reveal profit by category?,category_profit,can you reveal profit by category
Provide lowest earning product,lowest_profit_product,provide lowest earning product
Present bottom 10 products.,bottom_products,present bottom 10 products
Present the top 10 customers.,top_customers,present the top 10 customers
Give complete grand total sales,total_sales,give complete grand total sales
Can you compare region wise profit?,region_profit,can you compare region wise profit
Could you display the average net profit?,average_profit,could you display the average net profit
Show the grand total sales,total_sales,show the grand total sales
Show complete least valuable customers.,bottom_customers,show complete least valuable customers
Identify the lowest profit product,lowest_profit_product,identify the lowest profit product
Provide the overall profit,total_profit,provide the overall profit
Give me top cities.,top_cities,give me top cities
Find business growth.,sales_growth,find business growth
View category wise profit.,category_profit,view category wise profit
Give me the top 10 customers.,top_customers,give me the top 10 customers
Analyze annual revenue,yearly_sales,analyze annual revenue
Can you analyze shipping performance?,shipping_analysis,can you analyze shipping performance
Tell me best performing states.,top_states,tell me best performing states
Reveal overall most profitable product,highest_profit_product,reveal overall most profitable product
What is the segment wise sales?,sales_by_segment,what is the segment wise sales
Give complete least popular products,bottom_products,give complete least popular products
I need the lowest sales cities.,bottom_cities,i need the lowest sales cities
What is the top selling states?,top_states,what is the top selling states
I want overall sales.,total_sales,i want overall sales
Present the average sales amount.,average_sales,present the average sales amount
Please display total customers.,customer_count,please display total customers
Can I see the total sales?,total_sales,can i see the total sales
What is least profitable states?,bottom_states,what is least profitable states
Please reveal least profitable region.,worst_region,please reveal least profitable region
Reveal overall sales average,average_sales,reveal overall sales average
Can you provide the number of customers?,customer_count,can you provide the number of customers
Give detailed order count.,order_count,give detailed order count
Provide the sales by segment,sales_by_segment,provide the sales by segment
Calculate all monthly business profit,monthly_profit,calculate all monthly business profit
Reveal complete highest performing region,best_region,reveal complete highest performing region
Generate lowest sales region.,worst_region,generate lowest sales region
Generate a report for total customer orders.,order_count,generate a report for total customer orders
Analyze all shipping analysis,shipping_analysis,analyze all shipping analysis
Review profit across categories.,category_profit,review profit across categories
Please calculate annual sales.,yearly_sales,please calculate annual sales
Show all sales increase,sales_growth,show all sales increase
Find the least profitable states.,bottom_states,find the least profitable states
What is the business sales?,total_sales,what is the business sales
Could you compare the shipping mode?,shipping_analysis,could you compare the shipping mode
Give me the average income.,average_sales,give me the average income
Compute the average profit,average_profit,compute the average profit
Find overall sales by subcategory,sales_by_subcategory,find overall sales by subcategory
Please provide segment wise sales.,sales_by_segment,please provide segment wise sales
Create a report for category performance.,sales_by_category,create a report for category performance
Summarize total revenue.,total_sales,summarize total revenue
Tell me overall average income,average_profit,tell me overall average income
Kindly identify the best customers.,top_customers,kindly identify the best customers
Please list bottom products.,bottom_products,please list bottom products
Can you provide top profit product?,highest_profit_product,can you provide top profit product
Provide the worst profit product.,lowest_profit_product,provide the worst profit product
I'd like the sales increase.,sales_growth,id like the sales increase
Show latest average net profit.,average_profit,show latest average net profit
Analyze the best sales region.,best_region,analyze the best sales region
Compute overall profit average,average_profit,compute overall profit average
Can you provide top selling cities?,top_cities,can you provide top selling cities
Present the most profitable product.,highest_profit_product,present the most profitable product
Please show shipping analysis.,shipping_analysis,please show shipping analysis
Find worst sales region,worst_region,find worst sales region
How much is year wise profit?,yearly_profit,how much is year wise profit
Find the average sales amount,average_sales,find the average sales amount
Can you calculate the annual earnings?,yearly_profit,can you calculate the annual earnings
View the least profitable states.,bottom_states,view the least profitable states
Find sales across categories,sales_by_category,find sales across categories
Can you find the bottom 10 customers?,bottom_customers,can you find the bottom 10 customers
Kindly find the business sales.,total_sales,kindly find the business sales
List all top selling states,top_states,list all top selling states
Display complete category profit performance,category_profit,display complete category profit performance
List overall highest sales cities,top_cities,list overall highest sales cities
View the monthly earnings.,monthly_profit,view the monthly earnings
Please reveal worst region.,worst_region,please reveal worst region
Create dashboard for quantity sold.,quantity_analysis,create dashboard for quantity sold
Please calculate sales across subcategories.,sales_by_subcategory,please calculate sales across subcategories
Create dashboard for top states.,top_states,create dashboard for top states
Fetch customer segment sales.,sales_by_segment,fetch customer segment sales
What is the top cities?,top_cities,what is the top cities
Analyze the category performance.,sales_by_category,analyze the category performance
Present average income.,average_profit,present average income
Could you show the sales by month?,monthly_sales,could you show the sales by month
Summarize the business sales.,total_sales,summarize the business sales
Provide the inventory report,inventory_summary,provide the inventory report
Show all monthly revenue,monthly_sales,show all monthly revenue
Provide best cities,top_cities,provide best cities
Find the sales across categories,sales_by_category,find the sales across categories
Explain the region wise profit.,region_profit,explain the region wise profit
Provide annual sales.,yearly_sales,provide annual sales
Display sales average,average_sales,display sales average
Show overall average net profit,average_profit,show overall average net profit
Generate a report for sales by category.,sales_by_category,generate a report for sales by category
Create a report for worst sales region.,worst_region,create a report for worst sales region
Show complete overall sales,total_sales,show complete overall sales
Create dashboard for city performance.,bottom_cities,create dashboard for city performance
Calculate the average gross profit,average_profit,calculate the average gross profit
Can you find city performance?,bottom_cities,can you find city performance
Can you find the registered customers?,customer_count,can you find the registered customers
Compare overall subcategory performance,sales_by_subcategory,compare overall subcategory performance
Tell me profit by region.,region_profit,tell me profit by region
Show complete segment sales,sales_by_segment,show complete segment sales
Show me yearly profit.,yearly_profit,show me yearly profit
Kindly provide the registered customers.,customer_count,kindly provide the registered customers
Could you calculate the order count?,order_count,could you calculate the order count
Compare average net profit.,average_profit,compare average net profit
Tell me the top states.,top_states,tell me the top states
Can you find the top selling states?,top_states,can you find the top selling states
Reveal total revenue.,total_sales,reveal total revenue
Summarize the delivery performance.,shipping_analysis,summarize the delivery performance
Reveal the average income,average_profit,reveal the average income
Calculate the monthly earnings,monthly_profit,calculate the monthly earnings
View the sales by subcategory.,sales_by_subcategory,view the sales by subcategory
Kindly provide the monthly earnings.,monthly_profit,kindly provide the monthly earnings
Provide profit increase,profit_growth,provide profit increase
Could you provide the overall profit?,total_profit,could you provide the overall profit
Give me overall dashboard.,dashboard_summary,give me overall dashboard
Reveal the grand total sales,total_sales,reveal the grand total sales
Can you show average turnover?,average_sales,can you show average turnover
Show complete profit across regions,region_profit,show complete profit across regions
Provide complete average sales,average_sales,provide complete average sales
I want the average business sales.,average_sales,i want the average business sales
Please display region wise profit.,region_profit,please display region wise profit
Could you give the mean sales?,average_sales,could you give the mean sales
Calculate overall average business sales,average_sales,calculate overall average business sales
Inspect business profit.,total_profit,inspect business profit
Generate the worst sales region.,worst_region,generate the worst sales region
Can you show the category sales?,sales_by_category,can you show the category sales
Display complete sales growth,sales_growth,display complete sales growth
Compare worst performing states.,bottom_states,compare worst performing states
Give me total customers.,customer_count,give me total customers
Kindly provide the overall dashboard.,dashboard_summary,kindly provide the overall dashboard
Show me the most profitable product.,highest_profit_product,show me the most profitable product
Analyze all monthly revenue,monthly_sales,analyze all monthly revenue
